행정구역,score
강원특별자치도 강릉시,55.05
강원특별자치도 고성군,11.62
강원특별자치도 동해시,30.81
강원특별자치도 삼척시,26.77
강원특별자치도 속초시,32.32
강원특별자치도 양구군,6.06
강원특별자치도 양양군,9.6
강원특별자치도 영월군,10.1
강원특별자치도 원주시,70.2
강원특별자치도 인제군,14.14
강원특별자치도 정선군,11.62
강원특별자치도 철원군,16.16
강원특별자치도 춘천시,62.12
강원특별자치도 태백시,14.65
강원특별자치도 평창군,13.64
강원특별자치도 홍천군,30.3
강원특별자치도 화천군,5.56
강원특별자치도 횡성군,18.18
경기도 가평군,21.72
경기도 고양시,82.32
경기도 과천시,24.75
경기도 광명시,69.19
경기도 광주시,64.65
경기도 구리시,44.95
경기도 군포시,55.56
경기도 김포시,62.63
경기도 남양주시,79.29
경기도 동두천시,37.37
경기도 부천시,77.78
경기도 성남시,80.81
경기도 수원시,83.33
경기도 시흥시,73.74
경기도 안산시,77.27
경기도 안성시,56.57
경기도 안양시,78.28
경기도 양주시,63.64
경기도 양평군,29.29
경기도 여주시,34.85
경기도 연천군,15.15
경기도 오산시,59.6
경기도 용인시,82.83
경기도 의왕시,46.46
경기도 의정부시,75.25
경기도 이천시,48.48
경기도 파주시,74.24
경기도 평택시,71.72
경기도 포천시,42.93
경기도 하남시,47.98
경기도 화성시,80.3
경상남도 거제시,49.49
경상남도 거창군,20.71
경상남도 김해시,76.77
경상남도 남해군,8.08
경상남도 밀양시,31.31
경상남도 사천시,36.87
경상남도 산청군,10.1
경상남도 양산시,64.14
경상남도 의령군,7.07
경상남도 진주시,68.69
경상남도 창녕군,17.17
경상남도 창원시,81.82
경상남도 통영시,37.88
경상남도 하동군,12.12
경상남도 함안군,31.31
경상남도 함양군,8.59
경상남도 합천군,11.11
경상북도 경산시,54.04
경상북도 경주시,58.08
경상북도 고령군,7.58
경상북도 구미시,72.73
경상북도 김천시,41.41
경상북도 문경시,25.25
경상북도 봉화군,10.61
경상북도 상주시,32.83
경상북도 성주군,9.6
경상북도 안동시,40.4
경상북도 영덕군,8.08
경상북도 영양군,1.01
경상북도 영주시,28.28
경상북도 영천시,27.78
경상북도 예천군,13.13
경상북도 울릉군,0.51
경상북도 울진군,12.63
경상북도 의성군,11.62
경상북도 청도군,6.57
경상북도 청송군,1.52
경상북도 칠곡군,41.92
경상북도 포항시,74.75
광주광역시 광산구,69.7
대구광역시 군위군,2.02
대구광역시 달서구,73.23
대구광역시 달성군,45.96
대구광역시 수성구,58.59
대전광역시 대덕구,53.03
대전광역시 유성구,72.22
부산광역시 금정구,39.39
부산광역시 기장군,40.91
부산광역시 남구,42.93
부산광역시 동구,13.13
부산광역시 동래구,43.43
부산광역시 부산진구,52.53
부산광역시 북구,53.54
부산광역시 사상구,42.42
부산광역시 사하구,51.52
부산광역시 서구,22.73
부산광역시 수영구,35.35
부산광역시 연제구,36.87
부산광역시 영도구,25.76
부산광역시 해운대구,54.04
서울특별시 강남구,59.09
서울특별시 강동구,65.66
서울특별시 강서구,67.68
서울특별시 관악구,60.1
서울특별시 구로구,68.18
서울특별시 노원구,75.76
서울특별시 도봉구,61.11
서울특별시 동대문구,57.07
서울특별시 동작구,52.02
서울특별시 마포구,54.55
서울특별시 서대문구,48.99
서울특별시 서초구,46.97
서울특별시 성동구,45.45
서울특별시 성북구,66.67
서울특별시 송파구,71.21
서울특별시 양천구,65.15
서울특별시 영등포구,57.58
서울특별시 용산구,35.86
서울특별시 은평구,67.17
서울특별시 종로구,31.82
서울특별시 중구,32.83
서울특별시 중랑구,63.13
세종특별자치시 세종시,47.47
울산광역시 울주군,41.92
인천광역시 강화군,19.7
인천광역시 남동구,61.62
인천광역시 옹진군,4.55
전라남도 강진군,9.09
전라남도 고흥군,16.67
전라남도 곡성군,2.53
전라남도 광양시,43.94
전라남도 구례군,3.54
전라남도 나주시,28.79
전라남도 담양군,8.08
전라남도 목포시,49.49
전라남도 무안군,24.24
전라남도 보성군,7.58
전라남도 순천시,56.06
전라남도 신안군,7.07
전라남도 여수시,50.0
전라남도 영광군,9.09
전라남도 영암군,21.21
전라남도 완도군,15.66
전라남도 장성군,8.59
전라남도 장흥군,9.6
전라남도 진도군,5.05
전라남도 함평군,5.05
전라남도 해남군,17.68
전라남도 화순군,26.26
전라북도 고창군,18.69
전라북도 군산시,60.61
전라북도 김제시,36.36
전라북도 남원시,34.34
전라북도 무주군,3.03
전라북도 부안군,17.68
전라북도 순창군,11.11
전라북도 완주군,38.38
전라북도 익산시,66.16
전라북도 임실군,6.06
전라북도 장수군,2.53
전라북도 전주시,79.8
전라북도 정읍시,39.9
전라북도 진안군,4.04
제주특별자치도 서귀포시,51.01
제주특별자치도 제주시,76.26
충청남도 계룡시,23.23
충청남도 공주시,33.84
충청남도 금산군,20.2
충청남도 논산시,38.89
충청남도 당진시,50.51
충청남도 보령시,33.33
충청남도 부여군,20.71
충청남도 서산시,44.44
충청남도 서천군,19.19
충청남도 아산시,70.71
충청남도 예산군,22.22
충청남도 천안시,78.79
충청남도 청양군,10.61
충청남도 홍성군,27.27
충청북도 괴산군,7.07
충청북도 단양군,7.58
충청북도 보은군,5.56
충청북도 영동군,8.59
충청북도 옥천군,16.67
충청북도 음성군,29.8
충청북도 제천시,33.84
충청북도 진천군,23.74
충청북도 청주시,81.31
충청북도 충주시,46.46
