행정구역,score
강원특별자치도 강릉시,89.62
강원특별자치도 고성군,0.0
강원특별자치도 동해시,50.27
강원특별자치도 삼척시,53.01
강원특별자치도 속초시,82.51
강원특별자치도 양구군,92.35
강원특별자치도 양양군,0.0
강원특별자치도 영월군,8.2
강원특별자치도 원주시,78.69
강원특별자치도 인제군,14.21
강원특별자치도 정선군,7.1
강원특별자치도 철원군,6.01
강원특별자치도 춘천시,76.5
강원특별자치도 태백시,99.45
강원특별자치도 평창군,27.87
강원특별자치도 홍천군,28.42
강원특별자치도 화천군,21.86
강원특별자치도 횡성군,5.46
경기도 가평군,0.0
경기도 고양시,77.05
경기도 과천시,62.84
경기도 광명시,92.9
경기도 광주시,54.64
경기도 구리시,95.63
경기도 군포시,55.74
경기도 김포시,90.71
경기도 남양주시,88.52
경기도 동두천시,35.52
경기도 부천시,65.57
경기도 성남시,97.27
경기도 수원시,87.43
경기도 시흥시,93.44
경기도 안산시,43.17
경기도 안성시,51.91
경기도 안양시,71.04
경기도 양주시,85.25
경기도 양평군,6.56
경기도 여주시,51.37
경기도 연천군,4.92
경기도 오산시,84.7
경기도 용인시,68.31
경기도 의왕시,71.58
경기도 의정부시,65.03
경기도 이천시,38.25
경기도 파주시,67.21
경기도 평택시,64.48
경기도 포천시,34.97
경기도 하남시,98.91
경기도 화성시,96.17
경상남도 거제시,36.07
경상남도 거창군,49.18
경상남도 김해시,58.47
경상남도 남해군,32.79
경상남도 밀양시,15.85
경상남도 사천시,44.81
경상남도 산청군,10.93
경상남도 양산시,81.97
경상남도 의령군,0.0
경상남도 진주시,90.16
경상남도 창녕군,13.66
경상남도 창원시,40.98
경상남도 통영시,37.16
경상남도 하동군,0.0
경상남도 함안군,0.0
경상남도 함양군,31.69
경상남도 합천군,4.37
경상북도 경산시,63.39
경상북도 경주시,23.5
경상북도 고령군,0.0
경상북도 구미시,55.19
경상북도 김천시,26.23
경상북도 문경시,8.74
경상북도 봉화군,12.02
경상북도 상주시,25.14
경상북도 성주군,54.1
경상북도 안동시,30.6
경상북도 영덕군,45.36
경상북도 영양군,0.0
경상북도 영주시,39.89
경상북도 영천시,36.61
경상북도 예천군,16.39
경상북도 울릉군,95.08
경상북도 울진군,2.19
경상북도 의성군,22.95
경상북도 청도군,0.0
경상북도 청송군,18.58
경상북도 칠곡군,42.62
경상북도 포항시,63.93
광주광역시 광산구,68.85
대구광역시 군위군,0.0
대구광역시 달서구,81.42
대구광역시 달성군,80.33
대구광역시 수성구,96.72
대전광역시 대덕구,72.13
대전광역시 유성구,89.07
부산광역시 금정구,34.43
부산광역시 기장군,77.6
부산광역시 남구,53.55
부산광역시 동구,45.9
부산광역시 동래구,97.81
부산광역시 부산진구,73.77
부산광역시 북구,78.14
부산광역시 사상구,33.33
부산광역시 사하구,56.83
부산광역시 서구,74.86
부산광역시 수영구,69.95
부산광역시 연제구,91.8
부산광역시 영도구,47.54
부산광역시 해운대구,87.98
서울특별시 강남구,100.0
서울특별시 강동구,93.99
서울특별시 강서구,69.4
서울특별시 관악구,37.7
서울특별시 구로구,84.15
서울특별시 노원구,62.3
서울특별시 도봉구,41.53
서울특별시 동대문구,79.78
서울특별시 동작구,31.15
서울특별시 마포구,75.96
서울특별시 서대문구,66.12
서울특별시 서초구,86.34
서울특별시 성동구,83.06
서울특별시 성북구,59.56
서울특별시 송파구,98.36
서울특별시 양천구,80.87
서울특별시 영등포구,86.89
서울특별시 용산구,61.75
서울특별시 은평구,61.2
서울특별시 종로구,75.41
서울특별시 중구,70.49
서울특별시 중랑구,60.11
세종특별자치시 세종시,94.54
울산광역시 울주군,17.49
인천광역시 강화군,44.26
인천광역시 남동구,79.23
인천광역시 옹진군,26.78
전라남도 강진군,12.57
전라남도 고흥군,1.09
전라남도 곡성군,14.75
전라남도 광양시,48.09
전라남도 구례군,67.76
전라남도 나주시,83.61
전라남도 담양군,0.0
전라남도 목포시,52.46
전라남도 무안군,48.63
전라남도 보성군,0.0
전라남도 순천시,60.66
전라남도 신안군,7.65
전라남도 여수시,46.99
전라남도 영광군,21.31
전라남도 영암군,0.0
전라남도 완도군,20.22
전라남도 장성군,3.83
전라남도 장흥군,73.22
전라남도 진도군,13.11
전라남도 함평군,10.38
전라남도 해남군,24.04
전라남도 화순군,66.67
전라북도 고창군,15.3
전라북도 군산시,72.68
전라북도 김제시,50.82
전라북도 남원시,30.05
전라북도 무주군,20.77
전라북도 부안군,40.44
전라북도 순창군,59.02
전라북도 완주군,85.79
전라북도 익산시,57.38
전라북도 임실군,19.67
전라북도 장수군,24.59
전라북도 전주시,74.32
전라북도 정읍시,25.68
전라북도 진안군,18.03
제주특별자치도 서귀포시,33.88
제주특별자치도 제주시,91.26
충청남도 계룡시,28.96
충청남도 공주시,27.32
충청남도 금산군,1.64
충청남도 논산시,32.24
충청남도 당진시,39.34
충청남도 보령시,19.13
충청남도 부여군,9.84
충청남도 서산시,43.72
충청남도 서천군,2.73
충청남도 아산시,49.73
충청남도 예산군,0.55
충청남도 천안시,56.28
충청남도 청양군,11.48
충청남도 홍성군,29.51
충청북도 괴산군,0.0
충청북도 단양군,0.0
충청북도 보은군,9.29
충청북도 영동군,3.28
충청북도 옥천군,16.94
충청북도 음성군,22.4
충청북도 제천시,42.08
충청북도 진천군,46.45
충청북도 청주시,57.92
충청북도 충주시,38.8
