loc,med,edu,saf
강원특별자치도 강릉시,89.62,55.05,38.86
강원특별자치도 고성군,0.0,11.62,28.54
강원특별자치도 동해시,50.27,30.81,42.22
강원특별자치도 삼척시,53.01,26.77,78.61
강원특별자치도 속초시,82.51,32.32,58.72
강원특별자치도 양구군,92.35,6.06,44.44
강원특별자치도 양양군,0.0,9.6,40.66
강원특별자치도 영월군,8.2,10.1,20.2
강원특별자치도 원주시,78.69,70.2,31.32
강원특별자치도 인제군,14.21,14.14,38.38
강원특별자치도 정선군,7.1,11.62,21.72
강원특별자치도 철원군,6.01,16.16,22.98
강원특별자치도 춘천시,76.5,62.12,34.11
강원특별자치도 태백시,99.45,14.65,10.6
강원특별자치도 평창군,27.87,13.64,35.1
강원특별자치도 홍천군,28.42,30.3,45.72
강원특별자치도 화천군,21.86,5.56,31.32
강원특별자치도 횡성군,5.46,18.18,70.55
경기도 가평군,0.0,21.72,43.59
경기도 고양시,77.05,82.32,52.9
경기도 과천시,62.84,24.75,57.32
경기도 광명시,92.9,69.19,48.14
경기도 광주시,54.64,64.65,23.34
경기도 구리시,95.63,44.95,46.34
경기도 군포시,55.74,55.56,47.78
경기도 김포시,90.71,62.63,54.02
경기도 남양주시,88.52,79.29,43.0
경기도 동두천시,35.52,37.37,24.46
경기도 부천시,65.57,77.78,45.42
경기도 성남시,97.27,80.81,63.96
경기도 수원시,87.43,83.33,49.34
경기도 시흥시,93.44,73.74,46.82
경기도 안산시,43.17,77.27,32.98
경기도 안성시,51.91,56.57,24.38
경기도 안양시,71.04,78.28,49.8
경기도 양주시,85.25,63.64,31.4
경기도 양평군,6.56,29.29,51.7
경기도 여주시,51.37,34.85,42.39
경기도 연천군,4.92,15.15,33.58
경기도 오산시,84.7,59.6,28.79
경기도 용인시,68.31,82.83,47.71
경기도 의왕시,71.58,46.46,57.54
경기도 의정부시,65.03,75.25,19.7
경기도 이천시,38.25,48.48,36.52
경기도 파주시,67.21,74.24,29.45
경기도 평택시,64.48,71.72,38.24
경기도 포천시,34.97,42.93,47.64
경기도 하남시,98.91,47.98,52.28
경기도 화성시,96.17,80.3,51.17
경상남도 거제시,36.07,49.49,32.89
경상남도 거창군,49.18,20.71,30.3
경상남도 김해시,58.47,76.77,39.58
경상남도 남해군,32.79,8.08,46.97
경상남도 밀양시,15.85,31.31,52.84
경상남도 사천시,44.81,36.87,44.46
경상남도 산청군,10.93,10.1,48.99
경상남도 양산시,81.97,64.14,46.52
경상남도 의령군,0.0,7.07,46.46
경상남도 진주시,90.16,68.69,38.62
경상남도 창녕군,13.66,17.17,48.23
경상남도 창원시,40.98,81.82,45.47
경상남도 통영시,37.16,37.88,35.59
경상남도 하동군,0.0,12.12,32.83
경상남도 함안군,0.0,31.31,57.95
경상남도 함양군,31.69,8.59,42.68
경상남도 합천군,4.37,11.11,42.17
경상북도 경산시,63.39,54.04,29.36
경상북도 경주시,23.5,58.08,57.8
경상북도 고령군,0.0,7.58,53.25
경상북도 구미시,55.19,72.73,37.52
경상북도 김천시,26.23,41.41,43.22
경상북도 문경시,8.74,25.25,51.64
경상북도 봉화군,12.02,10.61,25.26
경상북도 상주시,25.14,32.83,62.0
경상북도 성주군,54.1,9.6,55.52
경상북도 안동시,30.6,40.4,54.42
경상북도 영덕군,45.36,8.08,45.84
경상북도 영양군,0.0,1.01,27.28
경상북도 영주시,39.89,28.28,35.44
경상북도 영천시,36.61,27.78,42.74
경상북도 예천군,16.39,13.13,84.88
경상북도 울릉군,95.08,0.51,28.03
경상북도 울진군,2.19,12.63,38.08
경상북도 의성군,22.95,11.62,77.98
경상북도 청도군,0.0,6.57,40.93
경상북도 청송군,18.58,1.52,39.65
경상북도 칠곡군,42.62,41.92,48.54
경상북도 포항시,63.93,74.75,37.36
광주광역시 광산구,68.85,69.7,29.04
대구광역시 군위군,0.0,2.02,71.59
대구광역시 달서구,81.42,73.23,45.54
대구광역시 달성군,80.33,45.96,60.12
대구광역시 수성구,96.72,58.59,64.2
대전광역시 대덕구,72.13,53.03,28.32
대전광역시 유성구,89.07,72.22,60.62
부산광역시 금정구,34.43,39.39,17.69
부산광역시 기장군,77.6,40.91,39.8
부산광역시 남구,53.55,42.93,40.32
부산광역시 동구,45.9,13.13,35.21
부산광역시 동래구,97.81,43.43,49.97
부산광역시 부산진구,73.77,52.53,27.88
부산광역시 북구,78.14,53.54,39.9
부산광역시 사상구,33.33,42.42,19.23
부산광역시 사하구,56.83,51.52,20.44
부산광역시 서구,74.86,22.73,28.45
부산광역시 수영구,69.95,35.35,48.64
부산광역시 연제구,91.8,36.87,39.75
부산광역시 영도구,47.54,25.76,10.28
부산광역시 해운대구,87.98,54.04,42.56
서울특별시 강남구,100.0,59.09,67.28
서울특별시 강동구,93.99,65.66,48.04
서울특별시 강서구,69.4,67.68,39.76
서울특별시 관악구,37.7,60.1,18.49
서울특별시 구로구,84.15,68.18,52.37
서울특별시 노원구,62.3,75.76,39.57
서울특별시 도봉구,41.53,61.11,30.54
